id,จังหวัด,ชื่อแหล่งศิลปกรรม,ประเภทที่,ประเภทแหล่งศิลปกรรม,ภาค,อำเภอ,ตำบล,latitude,longtitude
5957,กาฬสินธุ์,วัดโพธิชัยหนองห้าง,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคตะวันออกเฉียงเหนือ,กุฉินารายณ์,หนองห้าง,16.5522,104.1028
5958,กาฬสินธุ์,วัดโพธิ์ชัยเสมาราม,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคตะวันออกเฉียงเหนือ,กมลาไสย,หนองแปน,16.3151,103.5187
5959,กำแพงเพชร,สำนักสงฆ์ธรรมเจริญ (ถ้ำเขาแสงเพชร),ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,คลองลาน,สักงาม,16.3103,99.2594
5960,กำแพงเพชร,สำนักสงฆ์โป่งน้ำร้อน,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,คลองลาน,โป่งน้ำร้อน,16.3325,99.2798
5961,พะเยา,วัดป่าลานคำ,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,เมืองพะเยา,แม่ต๋ำ,19.1342,99.9098
5962,ชัยภูมิ,พระพุทธรูปไม้ (โบราณ) วัดโนนม่วง (ธ),ประเภทที่ 4,แหล่งโบราณคดีทั้งที่ขุดค้นแล้ว และยังไม่ได้ขุดค้น โบราณวัตถุ,ภาคตะวันออกเฉียงเหนือ,เมืองชัยภูมิ,โพนทอง,15.8155,102.0803
5963,ชัยภูมิ,ภูมิธรรมศาลา บ้านมีไฟ : สุธรรมคุรุแหงอุตราคะปุระนคร (ศาลตาผ้าขาว),ประเภทที่ 1,อนุสาวรีย์ อนุสรณ์สถาน สถาน หลักเมือง,ภาคตะวันออกเฉียงเหนือ,เมืองชัยภูมิ,นาฝาย,15.8731,102.0219
5964,ชัยภูมิ,ใบเสมา/แท่นโยนี วัดกู่สุวรรณวณาราม,ประเภทที่ 4,แหล่งโบราณคดีทั้งที่ขุดค้นแล้ว และยังไม่ได้ขุดค้น โบราณวัตถุ,ภาคตะวันออกเฉียงเหนือ,เมืองชัยภูมิ,บ้านเล่า,15.8587,102.0308
5965,ชัยภูมิ,ชุมชนญัฮกุรวังกำแพง,ประเภทที่ 7,ย่านชุมชนเก่า,ภาคตะวันออกเฉียงเหนือ,บ้านเขว้า,ชีบน,15.8591,101.7213
5966,ชัยภูมิ,ปราสาทเมืองน้อยใต้,ประเภทที่ 4,แหล่งโบราณคดีทั้งที่ขุดค้นแล้ว และยังไม่ได้ขุดค้น โบราณวัตถุ,ภาคตะวันออกเฉียงเหนือ,เมืองชัยภูมิ,ในเมือง,15.8285,102.0279
5967,ชัยภูมิ,กลุ่มใบเสมา วัดสุราลัย,ประเภทที่ 4,แหล่งโบราณคดีทั้งที่ขุดค้นแล้ว และยังไม่ได้ขุดค้น โบราณวัตถุ,ภาคตะวันออกเฉียงเหนือ,เมืองชัยภูมิ,กุดตุ้ม,15.8108,102.1005
5968,พัทลุง,วังเก่าวังใหม่,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคใต้,เมืองพัทลุง,ลำปำ,7.6232,100.1436
5969,พัทลุง,บ่อน้ำร้อนเขาชัยสน,ประเภทที่ 1,อนุสาวรีย์ อนุสรณ์สถาน สถาน หลักเมือง,ภาคใต้,เขาชัยสน,เขาชัยสน,7.4475,100.1301
5970,ชัยภูมิ,ภาพเขียนสีก่อนประวัติศาสตร์ผาผึ้ง,ประเภทที่ 1,อนุสาวรีย์ อนุสรณ์สถาน สถาน หลักเมือง,ภาคตะวันออกเฉียงเหนือ,เมืองชัยภูมิ,นาฝาย,15.9107,101.9898
5971,ชัยภูมิ,ธาตุไม้วัดเจดีย์,ประเภทที่ 4,แหล่งโบราณคดีทั้งที่ขุดค้นแล้ว และยังไม่ได้ขุดค้น โบราณวัตถุ,ภาคตะวันออกเฉียงเหนือ,ภูเขียว,กวางโจน,16.2796,102.2554
5972,ชัยภูมิ,สิมวัดบางอำพันธ์,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคตะวันออกเฉียงเหนือ,บำเหน็จณรงค์,บ้านตาล,15.4772,101.7502
5973,ชัยภูมิ,สิมวัดคอนสวรรค์,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคตะวันออกเฉียงเหนือ,คอนสวรรค์,คอนสวรรค์,15.945,102.3241
5974,เชียงราย,ถ้ำพระผางาม,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,เวียงชัย,ผางาม,19.871,100.0445
5975,เชียงราย,วัดดอนแก้ว,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,เวียงชัย,เมืองชุม,19.9164,99.9925
5976,นครราชสีมา,ปราสาทจำปาทอง (กู่ปราสาทจำปาทอง),ประเภทที่ 5,ชุมชนโบราณ เมืองโบราณ อุทยานประวัติศาสตร์,ภาคตะวันออกเฉียงเหนือ,ปักธงชัย,สะแกราช,14.53,101.97
5977,นครราชสีมา,ปราสาทหนองหอย,ประเภทที่ 6,เมืองเก่า เมืองประวัติศาสตร์,ภาคตะวันออกเฉียงเหนือ,ปักธงชัย,เกษมทรัพย์,14.52,101.99
5978,หนองบัวลำภู,วัดเพ็ญสว่าง,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคตะวันออกเฉียงเหนือ,สุวรรณคูหา,กุดผึ้ง,17.3446,102.1807
5979,บุรีรัมย์,กุมภลักษณ์หินหลุมโบราณ 150 ล้านปี,ประเภทที่ 4,แหล่งโบราณคดีทั้งที่ขุดค้นแล้ว และยังไม่ได้ขุดค้น โบราณวัตถุ,ภาคตะวันออกเฉียงเหนือ,ละหานทราย,สำโรงใหม่,14.3124,102.849
5980,บุรีรัมย์,วัดหงษ์ หรือ วัดศีรษะแรด,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคตะวันออกเฉียงเหนือ,พุทไธสง,มะเฟือง,15.5464,103.018
5981,บุรีรัมย์,วัดเขาพระอังคาร,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคตะวันออกเฉียงเหนือ,เฉลิมพระเกียรติ,เจริญสุข,14.5347,102.8346
5982,บุรีรัมย์,วัดป่าเขาน้อย,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคตะวันออกเฉียงเหนือ,เมืองบุรีรัมย์,เสม็ด,14.928,103.0949
5984,บุรีรัมย์,วัดปราสาทสูง,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคตะวันออกเฉียงเหนือ,ห้วยราช,ห้วยราช,14.9908,103.1958
5985,บุรีรัมย์,พระมหาเจดีย์ศรีทะเมนชัย,ประเภทที่ 1,อนุสาวรีย์ อนุสรณ์สถาน สถาน หลักเมือง,ภาคตะวันออกเฉียงเหนือ,ลำปลายมาศ,หนองบัวโคก,15.0398,102.9105
5986,บุรีรัมย์,ปราสาทเมืองต่ำ,ประเภทที่ 5,ชุมชนโบราณ เมืองโบราณ อุทยานประวัติศาสตร์,ภาคตะวันออกเฉียงเหนือ,ประโคนชัย,จรเข้มาก,14.9896,103.1003
5987,ขอนแก่น,แหล่งโบราณคดีบ้านพระบุ,ประเภทที่ 4,แหล่งโบราณคดีทั้งที่ขุดค้นแล้ว และยังไม่ได้ขุดค้น โบราณวัตถุ,ภาคตะวันออกเฉียงเหนือ,พระยืน,พระบุ,16.272,102.6894
5988,ขอนแก่น,วัดสวนป่าสมถสายชล (ไม้กลายเป็นหิน),ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคตะวันออกเฉียงเหนือ,มัญจาคีรี,โพนเพ็ก,16.2143,102.5998
5989,เชียงราย,วัดเขาแก้วดับภัย,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,เมืองเชียงราย,ห้วยสัก,19.7965,99.9029
5993,เชียงราย,วัดศรีพิงค์ชัย,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,เมืองเชียงราย,ห้วยสัก,19.8021,99.9143
5994,เชียงราย,วัดต้นก๊อ,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,เมืองเชียงราย,ห้วยสัก,19.7793,99.9242
5995,เชียงราย,วัดชัยสวัสดิ์,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,เวียงชัย,เวียงชัย,19.8599,99.923
5997,เชียงราย,วัดศรีเวียง,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,เวียงชัย,เวียงชัย,19.8602,99.9017
5998,เชียงราย,วัดเกษมสุข,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,เมืองเชียงราย,ห้วยสัก,19.8138,99.9148
5999,เชียงราย,วัดศรีบุญเกิด,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,ป่าแดด,ป่าเด็ง,19.5411,99.9685
6000,เชียงราย,วัดร่องปลาขาว,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,เมืองเชียงราย,ห้วยสัก,19.7841,99.9651
6001,เชียงราย,วัดป่าแงะเมืองชุม,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,ป่าแดด,ป่าแงะ,19.5566,99.9688
6002,เชียงราย,วัดร่องเบ้อใน,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,เมืองเชียงราย,ห้วยสัก,19.7263,99.929
6003,เชียงราย,วัดดงป่าเหมี้ยง,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,เมืองเชียงราย,ห้วยสัก,19.7683,99.9498
6004,เชียงราย,วัดราษฎร์ชุมพล,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,เวียงชัย,เวียงชัย,19.8792,99.8934
6005,เชียงราย,วัดศรีดงชัย,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,เมืองเชียงราย,ห้วยสัก,19.785,99.9351
6006,เชียงราย,วัดบ้านร่อง,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,เมืองเชียงราย,ห้วยสัก,19.7225,99.9216
6007,เชียงราย,วัดสันเจริญ,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,ป่าแดด,ป่าแงะ,19.5659,99.9485
6008,เชียงราย,วัดชัยเจริญ,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,เวียงชัย,เวียงชัย,19.8589,99.8948
6009,เชียงราย,วัดป่าเส้าดอนชัย,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,ป่าแดด,ป่าแงะ,19.5547,99.9528
6010,เชียงราย,วัดปงหลวง,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,เวียงชัย,เวียงชัย,19.8585,99.9389
6011,เชียงราย,วัดศรีศักดาราม,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,เมืองเชียงราย,ห้วยสัก,19.7731,99.9104
6012,เชียงราย,พระธาตุจอมรุ่ง,ประเภทที่ 4,แหล่งโบราณคดีทั้งที่ขุดค้นแล้ว และยังไม่ได้ขุดค้น โบราณวัตถุ,ภาคเหนือ,ป่าแดด,ป่าแงะ,19.5781,99.9456
6013,เชียงราย,วัดร่องเปา,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,ป่าแดด,ป่าแงะ,19.6144,99.9364
6014,เชียงราย,วัดไชยนารายณ์,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,เวียงชัย,เวียงชัย,19.8811,99.9063
6015,เชียงราย,วัดท่าน้ำ,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,ป่าแดด,ป่าแดด,19.5038,100.0007
6016,เชียงราย,วัดดอนมูล,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,เวียงชัย,เวียงชัย,19.8772,99.9554
6017,เชียงราย,วัดต้นมื่น,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,ป่าแดด,ป่าแดด,19.5094,100.0053
6018,เชียงราย,วัดดงมะดะ,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,แม่ลาว,ดงมะดะ,19.7344,99.6993
6019,เชียงราย,วัดกลางเวียง,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,เวียงชัย,เวียงชัย,19.8766,99.9261
6020,เชียงราย,วัดห้วยส้านยาว,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,แม่ลาว,ดงมะดะ,19.7446,99.6479
6021,เชียงราย,วัดมงคลนิมิต,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคเหนือ,แม่ลาว,ดงมะดะ,19.7208,99.6818
