id,จังหวัด,ชื่อแหล่งศิลปกรรม,ประเภทที่,ประเภทแหล่งศิลปกรรม,ภาค,อำเภอ,ตำบล,latitude,longtitude
5884,ฉะเชิงเทรา,อนุสรณ์สถานพระสถูปเจดีย์สมเด็จพระเจ้าตากสินมหาราช,ประเภทที่ 1,อนุสาวรีย์ อนุสรณ์สถาน สถาน หลักเมือง,ภาคตะวันออก,บางคล้า,บางคล้า,13.7394,101.2108
5885,ฉะเชิงเทรา,ชุมชนท่าสะอ้าน,ประเภทที่ 7,ย่านชุมชนเก่า,ภาคตะวันออก,บางปะกง,ท่าสะอ้าน,13.5441,100.9943
5886,สระแก้ว,ปราสาทเขาโล้น,ประเภทที่ 1,อนุสาวรีย์ อนุสรณ์สถาน สถาน หลักเมือง,ภาคตะวันออก,ตาพระยา,ทัพราช,14.0576,102.6963
5887,สระแก้ว,ปราสาทบ้านน้อยห้วยพะใย,ประเภทที่ 1,อนุสาวรีย์ อนุสรณ์สถาน สถาน หลักเมือง,ภาคตะวันออก,วัฒนานคร,ผักขะ,13.7477,102.3951
5888,ฉะเชิงเทรา,หอดูดาวเฉลิมพระเกียรติ 7 รอบพระชนมพรรษา,ประเภทที่ 3,พิพิธภัณฑ์ สถาปัตยกรรม พระราชวัง,ภาคตะวันออก,แปลงยาว,วังเย็น,13.5937,101.2564
5889,ฉะเชิงเทรา,พิพิธภัณฑ์ไทยพวน,ประเภทที่ 3,พิพิธภัณฑ์ สถาปัตยกรรม พระราชวัง,ภาคตะวันออก,พนมสารคาม,บ้านซ่อง,13.8011,101.4055
5890,ฉะเชิงเทรา,พิพิธภัณฑ์เมืองฉะเชิงเทรา (ตำหนักกรมหมื่นมรุพงษ์ศิริพัฒน์),ประเภทที่ 3,พิพิธภัณฑ์ สถาปัตยกรรม พระราชวัง,ภาคตะวันออก,เมืองฉะเชิงเทรา,หน้าเมือง,13.685,100.9659
5891,ฉะเชิงเทรา,บ่อนางสิบสอง,ประเภทที่ 4,แหล่งโบราณคดีทั้งที่ขุดค้นแล้ว และยังไม่ได้ขุดค้น โบราณวัตถุ,ภาคตะวันออก,ราชสาส์น,ดงน้อย,13.8273,101.2886
5892,จันทบุรี,ที่ว่าการอำเภอเขาพลอยแหวน โรงเรียนปริยัติธรรม วัดเขาพลอยแหวน (อาทรวิทยา),ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคตะวันออก,ท่าใหม่,พลอยแหวน,12.6068,102.0388
5893,จันทบุรี,ศาลเจ้าแม่เทียนโหวเชียโบ๊,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคตะวันออก,เมืองจันทบุรี,บางกะจะ,12.5811,102.0539
5894,จันทบุรี,โบสถ์วัดพลับ,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคตะวันออก,เมืองจันทบุรี,บางกะจะ,12.5844,102.0552
5895,จันทบุรี,วิหารไม้,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคตะวันออก,เมืองจันทบุรี,บางกะจะ,12.5846,102.0552
5896,จันทบุรี,เจดีย์กลางน้ำ,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคตะวันออก,เมืองจันทบุรี,บางกะจะ,12.5846,102.0552
5897,จันทบุรี,หอไตรปิฎก,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคตะวันออก,เมืองจันทบุรี,บางกะจะ,12.5847,102.0532
5898,จันทบุรี,พระปรางค์,ประเภทที่ 2,วัด วัดร้าง ศาสนสถาน,ภาคตะวันออก,เมืองจันทบุรี,บางกะจะ,12.5845,102.0561
