name,subdistrict,district,province,region,lat,lng,heritage
สังกาอู้,เกาะลันตาใหญ่,เกาะลันตา,กระบี่,ใต้,7.489036474,99.11037374,
ศรีรายา,เกาะลันตาใหญ่,เกาะลันตา,กระบี่,ใต้,7.532645846,99.09320507,
โต๊ะบาหลิว,ศาลาด่าน,เกาะลันตา,กระบี่,ใต้,7.646889541,99.04209353,
ในไร่ คลองดาว,ศาลาด่าน,เกาะลันตา,กระบี่,ใต้,7.645451722,99.03384107,
